Reading ID, Time (µs), Force (N) 

0,2726732,0
1,2727509,0
2,2730512,0
3,2733508,0
4,2738511,0
5,2741513,0
6,2744515,0
7,2747511,0
8,2750511,0
9,2753513,0
10,2756517,0
11,2759507,0
12,2762511,0
13,2765508,0
14,2768508,0
15,2771508,0
16,2774508,0
17,2777508,0
18,2780510,0
19,2783508,0
20,2786508,0
21,2789508,0
22,2792508,0
23,2795510,0
24,2798512,0
25,2801513,0
26,2804508,0
27,2807508,0
28,2810508,0
29,2813510,0
30,2816508,0
31,2819508,0
32,2822508,0
33,2825508,0
34,2828510,0
35,2831508,0
36,2834508,0
37,2837508,0
38,2840508,0
39,2843510,0
40,2846509,0
41,2849509,0
42,2852511,0
43,2855510,0
44,2860518,12
45,2863508,0
46,2866508,0
47,2869508,0
48,2872508,0
49,2875510,0
50,2878510,0
51,2881509,0
52,2884508,0
53,2887508,0
54,2890508,0
55,2893510,0
56,2896508,0
57,2899508,0
58,2902508,0
59,2905508,0
60,2908510,0
61,2911508,0
62,2914508,0
63,2917511,0
72,2944515,0
73,2947510,0
74,2950513,21
75,2953511,0
76,2956512,0
77,2959508,0
78,2962513,0
79,2965510,0
80,2968508,0
81,2971512,0
82,2974510,0
83,2977512,0
84,2982511,0
85,2985512,0
86,2988514,0
87,2991509,0
88,2994510,0
89,2997512,0
90,3000507,0
91,3003511,0
92,3006511,0
93,3009513,0
94,3012508,0
95,3015512,0
96,3018510,0
97,3021512,0
98,3024349,0
99,3026287,0
100,3029337,0
101,3032387,0
102,3035438,0
103,3038490,0
104,3043513,0
105,3046512,0
106,3049510,0
107,3051267,0
108,3053742,0
109,3056786,0
110,3059837,0
111,3062886,0
112,3065937,0
113,3068990,0
114,3072039,0
115,3075087,0
116,3078137,0
117,3081188,0
118,3084239,0
119,3087288,0
120,3091513,0
121,3094512,0
122,3097510,0
123,3099488,0
124,3102546,0
125,3105591,0
126,3108640,0
127,3111690,0
128,3114740,0
129,3117788,0
130,3120835,0
131,3123884,0
132,3126934,0
133,3129985,0
134,3133035,0
135,3136085,0
136,3140508,0
137,3143507,0
138,3146506,0
139,3149506,0
140,3152505,0
141,3154388,0
142,3157437,0
143,3160488,0
144,3163538,0
145,3166589,0
146,3169639,0
147,3172689,0
148,3175739,0
149,3178789,0
150,3181840,0
151,3184890,0
152,3189508,0
153,3192507,0
154,3195505,0
155,3197459,0
156,3200141,0
157,3203191,0
158,3206241,0
159,3209291,0
160,3212341,0
161,3215390,0
162,3218439,0
163,3221489,0
164,3224538,0
165,3227587,0
166,3230636,0
167,3233686,0
168,3238507,0
169,3241507,0
170,3244506,0
171,3247508,0
172,3250505,0
173,3252377,0
174,3255031,0
175,3258080,0
176,3261130,0
177,3264179,0
178,3267228,0
179,3270277,0
180,3273326,0
181,3276377,0
182,3279426,0
183,3282476,0
184,3287508,0
185,3290507,0
186,3293505,0
187,3294968,0
188,3297727,0
189,3300777,0
190,3303828,0
191,3306877,0
192,3309928,0
193,3312978,0
194,3316030,-11
195,3319079,0
196,3322128,0
197,3325195,0
198,3328241,0
199,3331284,0
200,3335513,0
201,3338511,0
202,3341510,0
203,3343489,0
204,3346542,0
205,3349582,0
206,3352635,0
207,3355683,0
208,3358738,0
209,3361785,0
210,3364836,0
211,3367885,0
212,3370936,0
213,3373983,0
214,3377038,0
215,3380097,0
216,3384513,0
217,3387509,0
218,3389234,0
219,3392297,0
220,3395334,0
221,3398386,0
222,3401432,0
223,3404485,0
224,3407541,0
225,3410584,0
226,3413631,0
227,3416682,0
228,3419729,0
229,3422783,0
230,3425828,0
231,3428879,0
232,3433513,0
233,3436512,0
234,3439512,0
235,3441076,0
236,3444128,0
237,3447174,0
238,3450224,0
239,3453271,0
240,3456335,0
241,3459375,0
242,3462423,0
243,3465470,0
244,3468527,0
245,3471570,0
246,3474619,0
247,3477668,0
248,3482513,0
249,3485510,0
250,3486817,0
251,3489867,0
252,3492913,0
253,3495962,0
254,3499012,0
255,3502074,-10
256,3505110,0
257,3508160,0
258,3511208,0
259,3514257,0
260,3517306,0
261,3520358,0
262,3523406,0
263,3526455,0
264,3531513,0
265,3534511,0
266,3535706,0
267,3538651,0
268,3541699,0
269,3544747,0
270,3547798,0
271,3550846,0
272,3553899,0
273,3556947,0
274,3559996,0
275,3563044,0
276,3566101,0
277,3569143,0
278,3572193,0
279,3575240,0
280,3579512,0
281,3582514,0
282,3585506,0
283,3587432,0
284,3590481,0
285,3593533,0
286,3596579,0
287,3599629,0
288,3602678,0
289,3605727,0
290,3608776,0
291,3611826,0
292,3614875,0
293,3617924,0
294,3620973,0
295,3624023,0
296,3628508,0
297,3631509,0
298,3633172,0
299,3636219,0
300,3639269,0
301,3642318,0
302,3645369,0
303,3648419,0
304,3651465,0
305,3654521,0
306,3657564,0
307,3660613,0
308,3663663,0
309,3666711,0
310,3669761,0
311,3672809,0
312,3677508,0
313,3680508,0
314,3683508,0
315,3685009,0
316,3688056,0
317,3691106,0
318,3694154,0
319,3697204,0
320,3700252,0
321,3703302,0
322,3706351,0
323,3709400,0
324,3712449,0
325,3715505,0
326,3718548,0
327,3721597,0
328,3726509,0
329,3729507,0
330,3730745,0
331,3733796,0
332,3736847,0
333,3739893,0
334,3742942,0
335,3745992,0
336,3749042,0
337,3752091,0
338,3755140,0
339,3758189,0
340,3761238,0
341,3764288,0
342,3767337,0
343,3770386,0
344,3774511,0
345,3777505,0
346,3780508,0
347,3782583,0
348,3785632,0
349,3788681,0
350,3791731,0
351,3794779,0
352,3797829,0
353,3800878,0
354,3803927,0
355,3806976,0
356,3810026,0
357,3813075,0
358,3816124,0
359,3819173,0
360,3823509,0
361,3826508,0
362,3828322,0
363,3831370,0
364,3834419,0
365,3837470,0
366,3840527,0
367,3843567,0
368,3846616,0
369,3849665,0
370,3852714,0
371,3855763,0
372,3858812,0
373,3861861,0
374,3864911,0
375,3867960,0
376,3872509,0
377,3875507,0
378,3877108,0
379,3880157,0
380,3883206,0
381,3886254,0
382,3889304,0
383,3892353,0
384,3895402,0
385,3898451,0
386,3901507,0
387,3904550,0
388,3907599,0
389,3910648,0
390,3913697,0
391,3916746,0
392,3921509,0
393,3924510,0
394,3927508,0
395,3928944,0
396,3931992,0
397,3935041,0
398,3938090,0
399,3941139,0
400,3944189,0
401,3947238,0
402,3950288,0
403,3953337,0
404,3956386,0
405,3959435,0
406,3962484,0
407,3965533,0
408,3970509,0
409,3973508,0
410,3974682,0
411,3977730,0
412,3980779,0
413,3983829,0
414,3986880,0
415,3989930,0
416,3992977,0
417,3996029,2
418,3999075,0
419,4002124,0
420,4005173,0
421,4008222,0
422,4011271,0
423,4014320,0
424,4018509,0
425,4021507,0
426,4024510,0
427,4026525,0
428,4029566,0
429,4032616,0
430,4035664,0
431,4038713,0
432,4041763,0
433,4044812,0
434,4047860,0
435,4050910,0
436,4053959,0
437,4057009,0
438,4060058,0
439,4063108,0
440,4067509,0
441,4070507,0
442,4072257,0
443,4075307,0
444,4078354,0
445,4081404,0
446,4084453,0
447,4087509,0
448,4090551,0
449,4093601,0
450,4096650,0
451,4099699,0
452,4102748,0
453,4105798,0
454,4108847,0
455,4111896,0
456,4116511,0
457,4119505,0
458,4122508,0
459,4124093,0
460,4127142,0
461,4130191,0
462,4133241,0
463,4136290,0
464,4139339,0
465,4142388,0
466,4145437,0
467,4148487,0
468,4151536,0
469,4154585,0
470,4157634,0
471,4160684,0
472,4165509,0
473,4168508,0
474,4169832,0
475,4172880,0
476,4175929,0
477,4178980,0
478,4182031,0
479,4185077,0
480,4188127,0
481,4191176,0
482,4194225,0
483,4197274,0
484,4200324,0
485,4203373,0
486,4206423,0
487,4209471,0
488,4214509,0
489,4217506,0
490,4220508,0
491,4221668,0
492,4224718,0
493,4227767,0
494,4230816,0
495,4233865,0
496,4236914,0
497,4239963,0
498,4243013,0
499,4246062,0
500,4249111,0
501,4252160,0
502,4255209,0
503,4258259,0
504,4262509,0
505,4265509,0
506,4267409,0
507,4270457,0
508,4273512,0
509,4276555,0
510,4279605,0
511,4282654,0
512,4285703,0
513,4288752,0
514,4291801,0
515,4294850,0
516,4297899,0
517,4300948,0
518,4303997,0
519,4307046,0
520,4311509,0
521,4314508,0
522,4316194,0
523,4319243,0
524,4322292,0
525,4325341,0
526,4328391,0
527,4331440,0
528,4334489,0
529,4337538,0
530,4340587,0
531,4343636,0
532,4346685,0
533,4349734,0
534,4352784,0
535,4355833,0
536,4360509,0
537,4363508,0
538,4366509,0
539,4368032,0
540,4371080,0
541,4374130,0
542,4377178,0
543,4380227,0
544,4383276,0
545,4386325,0
546,4389375,0
547,4392424,0
548,4395473,0
549,4398529,0
550,4401571,0
551,4404620,0
552,4409509,0
553,4412508,0
554,4413769,0
555,4416816,0
556,4419866,0
557,4422914,0
558,4425963,0
559,4429012,0
560,4432061,0
561,4435110,0
562,4438159,0
563,4441208,0
564,4444257,0
565,4447306,0
566,4450355,0
567,4453404,0
568,4457510,0
569,4460507,0
570,4463510,0
571,4465602,0
572,4468649,0
573,4471698,0
574,4474747,0
575,4477796,0
576,4480846,0
577,4483894,0
578,4486943,0
579,4489993,0
580,4493042,0
581,4496091,0
582,4499140,0
583,4502189,0
584,4506509,0
585,4509507,0
586,4511337,0
587,4514386,0
588,4517435,0
589,4520485,0
590,4523535,0
591,4526581,0
592,4529630,0
593,4532680,0
594,4535728,0
595,4538778,0
596,4541827,0
597,4544876,0
598,4547925,0
599,4550974,0
600,4554511,22
601,4557507,0
602,4560507,0
603,4563511,0
604,4566233,0
605,4569277,0
606,4572333,0
607,4575374,0
608,4578426,0
609,4581474,0
610,4584529,0
611,4587570,0
612,4590621,0
613,4593669,0
614,4596720,0
615,4599768,0
616,4604513,0
617,4607511,0
618,4608916,0
619,4611970,0
620,4615016,0
621,4618080,22
622,4621114,0
623,4624169,0
624,4627211,0
625,4630261,0
626,4633308,0
627,4636364,0
628,4639407,0
629,4642457,0
630,4645513,0
631,4648555,0
632,4653513,0
633,4656511,0
634,4657698,0
635,4660754,0
636,4663805,0
637,4666847,0
638,4669898,0
639,4672945,0
640,4675997,0
641,4679043,0
642,4682105,0
643,4685142,0
644,4688196,0
645,4691245,0
646,4694293,0
647,4697336,0
648,4701512,0
649,4704512,0
650,4707510,0
651,4709541,0
652,4712591,0
653,4715632,0
654,4718682,0
655,4721730,0
656,4724780,0
657,4727828,0
658,4730878,0
659,4733924,0
660,4736976,0
661,4740022,0
662,4743075,0
663,4746124,0
664,4750513,0
665,4753511,0
666,4755270,0
667,4758323,0
668,4761367,0
669,4764417,0
670,4767464,0
671,4770521,0
672,4773564,0
673,4776614,0
674,4779660,0
675,4782710,0
676,4785756,0
677,4788809,0
678,4791857,0
679,4794905,0
680,4799513,0
681,4802515,0
682,4805512,0
683,4807103,0
684,4810151,0
685,4813198,0
686,4816248,0
687,4819294,0
688,4822358,0
689,4825401,0
690,4828444,0
691,4831492,0
692,4834542,0
693,4837590,0
694,4840642,0
695,4843688,0
696,4848513,0
697,4851511,0
698,4852837,0
699,4855890,0
700,4858933,0
701,4861982,0
702,4865037,22
703,4868089,0
704,4871131,0
705,4874180,0
706,4877227,0
707,4880275,0
708,4883324,0
709,4886376,0
710,4889424,0
711,4892472,0
712,4897513,0
713,4900514,0
714,4903512,0
715,4905097,0
716,4907719,0
717,4910763,0
718,4913812,0
719,4916864,0
720,4919914,0
721,4922964,0
722,4926011,0
723,4929059,0
724,4932108,0
725,4935158,0
726,4938208,0
727,4941254,0
728,4945513,0
729,4948511,0
730,4950405,0
731,4953443,0
732,4956493,0
733,4959541,0
734,4962590,0
735,4965639,0
736,4968688,0
737,4971737,0
738,4974786,0
739,4977835,0
740,4980884,0
741,4983934,0
742,4986983,0
743,4990033,0
744,4994509,0
745,4997506,0
746,5000506,0
747,5002230,0
748,5005277,0
749,5008326,0
750,5011376,0
751,5014424,0
752,5017473,0
753,5020529,0
754,5023572,0
755,5026621,0
756,5029670,0
757,5032719,0
758,5035768,0
759,5038817,0
760,5043509,0
761,5046507,0
762,5047964,0
763,5051014,0
764,5054064,0
765,5057112,0
766,5060161,0
767,5063210,0
768,5066258,0
769,5069307,0
770,5072356,0
771,5075405,0
772,5078454,0
773,5081511,0
774,5084553,0
775,5087602,0
776,5092509,0
777,5095507,0
778,5096749,0
779,5099800,0
780,5102848,0
781,5105897,0
782,5108946,0
783,5111995,0
784,5115044,0
785,5118093,0
786,5121142,0
787,5124192,0
788,5127240,0
789,5130289,0
790,5133338,0
791,5136388,0
792,5140508,0
793,5143506,0
794,5146506,0
795,5148586,0
796,5151633,0
797,5154683,0
798,5157732,0
799,5160783,0
800,5163830,0
801,5166880,0
802,5169929,0
803,5172978,0
804,5176030,-11
805,5179077,0
806,5182140,0
807,5185187,0
808,5189513,0
809,5192509,0
810,5194328,0
811,5197381,0
812,5200431,0
813,5203480,0
814,5206532,0
815,5209576,0
816,5212622,0
817,5215676,0
818,5218722,0
819,5221772,0
820,5224820,0
821,5227870,0
822,5230918,0
823,5233969,0
824,5237512,0
825,5240513,0
826,5243512,13
827,5246508,0
828,5249217,0
829,5252264,0
830,5255312,0
831,5258359,0
832,5261410,0
833,5264460,0
834,5267515,0
835,5270558,0
836,5273605,0
837,5276656,0
838,5279707,0
839,5282753,0
840,5287512,0
841,5290512,0
842,5291901,0
843,5294954,0
844,5298001,0
845,5301060,12
846,5304098,0
847,5307147,0
848,5310196,0
849,5313253,0
850,5316303,0
851,5319353,0
852,5322392,0
853,5325441,0
854,5328491,0
855,5331545,0
856,5336512,0
857,5339513,0
858,5342512,0
859,5343738,0
860,5346791,0
861,5349836,0
862,5352883,0
863,5355934,0
864,5358982,0
865,5362034,0
866,5365093,0
867,5368129,0
868,5371179,0
869,5374227,0
870,5377279,0
871,5380325,0
872,5384513,0
873,5387512,0
874,5389477,0
875,5392531,0
876,5395573,0
877,5398619,0
878,5401668,0
879,5404717,0
880,5407768,0
881,5410815,0
882,5413864,0
883,5416913,0
884,5419962,0
885,5423012,0
886,5426063,0
887,5429110,0
888,5433513,0
889,5436510,0
890,5438256,0
891,5441303,0
