Reading ID, Time (µs), Force (N) 

0,6265010,46
1,6265223,41
2,6266131,44
3,6267908,45
4,6268182,43
5,6269871,44
6,6270238,44
7,6271857,47
8,6272272,46
9,6273857,48
10,6274315,48
11,6275853,48
12,6276358,47
13,6277853,47
14,6278399,46
15,6279853,46
16,6280445,43
17,6281853,46
18,6282487,45
19,6283843,43
20,6284520,42
21,6285854,44
22,6286579,44
23,6287853,46
24,6288606,46
25,6289854,47
26,6290656,47
27,6291857,49
28,6292687,47
29,6293858,46
30,6295720,46
31,6295894,46
32,6297768,45
33,6297934,45
34,6299838,44
35,6300013,43
36,6301857,43
37,6302023,44
38,6303857,44
39,6304029,45
40,6305873,46
41,6306047,48
42,6307854,47
43,6308020,47
44,6309854,48
45,6310067,48
46,6311854,47
47,6312114,45
48,6313854,45
49,6314154,43
50,6315854,45
51,6316202,43
52,6317854,43
53,6318247,43
54,6319858,44
55,6320285,45
56,6321854,47
57,6322329,47
58,6323854,48
59,6324374,47
60,6325845,48
61,6326420,47
62,6327854,47
63,6328463,46
142,6409789,48
143,6410194,47
144,6411222,47
145,6412240,46
146,6413263,45
147,6414283,44
148,6415300,44
149,6416314,45
150,6417347,44
151,6418370,44
152,6419391,45
153,6420412,46
154,6421430,46
155,6422451,47
156,6423478,48
157,6424500,47
158,6425516,47
159,6426532,48
160,6427559,47
161,6428575,46
162,6429603,45
163,6430620,45
164,6431652,45
165,6432667,45
166,6433685,43
167,6434693,43
168,6435754,45
169,6436779,46
170,6437797,46
171,6438841,46
172,6439869,47
173,6440893,48
174,6441882,46
175,6442890,48
176,6443909,47
177,6444933,45
178,6445950,46
179,6446975,45
180,6447998,44
181,6449020,45
182,6450050,44
183,6451063,44
184,6452085,44
185,6453104,45
186,6454122,45
187,6455151,47
188,6456169,48
189,6457182,47
190,6458213,48
191,6459235,48
192,6460246,48
193,6461280,47
194,6462292,46
195,6463323,45
196,6464340,45
197,6465364,45
198,6466395,44
199,6467407,43
200,6468428,44
201,6469452,44
202,6470475,46
203,6471491,47
204,6472518,47
205,6473532,47
206,6474559,47
207,6475572,48
208,6476600,47
209,6477626,47
210,6478636,46
211,6479669,46
212,6480680,44
213,6481691,44
214,6482758,44
215,6483783,44
216,6484794,44
217,6485826,45
218,6486869,45
219,6487877,46
220,6488890,46
221,6489890,47
222,6490897,46
223,6491933,48
224,6492952,49
225,6493962,47
226,6494999,46
227,6496006,46
228,6497027,45
229,6498060,45
230,6499090,44
231,6500092,43
232,6501125,44
233,6502141,44
234,6503156,45
235,6504190,46
236,6505204,46
237,6506233,46
238,6507254,47
239,6508275,47
240,6509287,48
241,6510315,46
242,6511331,47
243,6512356,47
244,6513385,45
245,6514396,44
246,6515439,44
247,6516445,43
248,6517471,44
249,6518481,44
250,6519504,44
251,6520525,44
252,6521557,46
253,6522575,47
254,6523596,46
255,6524618,47
256,6525644,48
257,6526660,48
258,6527676,47
259,6528693,46
260,6529754,45
261,6530769,44
262,6531788,44
263,6532830,44
264,6533860,44
265,6534879,44
266,6535893,45
267,6536892,44
268,6537905,46
269,6538924,47
270,6539936,47
271,6540970,47
272,6541990,48
273,6543001,48
274,6544035,47
275,6545054,46
276,6546066,46
277,6547100,44
278,6548120,44
279,6549131,44
280,6550160,44
281,6551184,44
282,6552209,44
283,6553235,45
284,6554253,45
285,6555268,47
286,6556295,47
287,6557315,48
288,6558339,48
289,6559360,48
290,6560379,48
291,6561392,46
292,6562424,46
293,6563446,45
294,6564470,44
295,6565479,44
296,6566506,44
297,6567532,44
298,6568550,44
299,6569566,45
300,6570596,46
301,6571608,45
302,6572645,47
303,6573663,48
304,6574673,48
305,6575689,47
306,6576756,47
307,6577772,46
308,6578793,47
309,6579815,45
310,6580865,45
311,6581876,44
312,6582893,44
313,6583891,44
314,6584899,43
315,6585912,44
316,6586945,46
317,6587965,46
318,6588988,47
319,6590014,47
320,6591030,48
321,6592053,48
322,6593075,48
323,6594095,46
324,6595106,47
325,6596140,46
326,6597160,44
327,6598172,45
328,6599211,45
329,6600229,44
330,6601241,43
331,6602270,44
332,6603291,44
333,6604314,46
334,6605331,46
335,6606351,47
336,6607370,47
337,6608403,47
338,6609417,48
339,6610436,48
340,6611460,47
341,6612486,46
342,6613519,45
343,6614525,45
344,6615547,44
345,6616568,44
346,6617590,44
347,6618612,44
348,6619639,44
349,6620659,46
350,6621676,46
351,6622686,47
352,6623747,48
353,6624762,47
354,6625784,48
355,6626818,48
356,6627931,46
357,6628871,46
358,6629890,45
359,6630886,44
360,6631891,44
361,6632920,44
362,6633940,44
363,6634951,44
364,6635986,44
365,6637005,45
366,6638016,45
367,6639050,47
368,6640066,47
369,6641093,48
370,6642115,48
371,6643135,48
372,6644151,47
373,6645184,47
374,6646201,46
375,6647216,44
376,6648249,44
377,6649266,43
378,6650281,44
379,6651314,44
380,6652322,43
381,6653341,45
382,6654375,46
383,6655392,46
384,6656407,47
385,6657443,48
386,6658459,47
387,6659483,48
388,6660504,47
389,6661526,47
390,6662556,47
391,6663569,45
392,6664581,45
393,6665608,44
394,6666632,43
395,6667660,43
396,6668673,43
397,6669688,45
398,6670743,45
399,6671754,47
400,6672785,48
401,6673803,47
402,6674847,48
403,6675862,48
404,6676889,48
405,6677887,46
406,6678892,46
407,6679915,45
408,6680930,44
409,6681960,44
410,6682976,44
411,6683995,44
412,6685025,44
413,6686042,44
414,6687057,46
415,6688090,46
416,6689101,47
417,6690122,47
418,6691154,47
419,6692171,47
420,6693190,48
421,6694215,47
422,6695244,46
423,6696260,46
424,6697281,45
425,6698302,46
426,6699331,44
427,6700347,43
428,6701367,43
429,6702382,45
430,6703410,45
431,6704431,46
432,6705450,46
433,6706480,47
434,6707496,48
435,6708523,48
436,6709545,47
437,6710556,47
438,6711590,47
439,6712609,46
440,6713627,45
441,6714650,45
442,6715674,44
443,6716685,44
444,6717695,45
445,6718752,44
446,6719789,45
447,6720800,46
448,6721837,46
449,6722871,47
450,6723894,48
451,6724890,47
452,6725890,49
453,6726905,47
454,6727939,48
455,6728951,46
456,6729970,46
457,6731000,45
458,6732017,44
459,6733032,45
460,6734065,44
461,6735082,44
462,6736097,44
463,6737131,46
464,6738150,45
465,6739166,47
466,6740196,48
467,6741215,48
468,6742238,47
469,6743256,48
470,6744281,47
471,6745307,47
472,6746326,45
473,6747342,45
474,6748358,46
475,6749390,45
476,6750410,44
477,6751422,44
478,6752454,44
479,6753474,45
480,6754487,46
481,6755520,46
482,6756541,48
483,6757564,47
484,6758583,48
485,6759604,48
486,6760635,48
487,6761649,47
488,6762672,46
489,6763688,45
490,6764692,45
491,6765751,44
492,6766779,44
493,6767796,44
494,6768836,45
495,6769865,45
496,6770890,45
497,6771888,45
498,6772881,47
499,6773909,47
500,6774927,48
501,6775942,48
502,6776979,48
503,6777992,47
504,6779007,46
505,6780039,45
506,6781056,44
507,6782084,44
508,6783106,44
509,6784125,44
510,6785148,44
511,6786170,45
512,6787187,44
513,6788202,46
514,6789235,47
515,6790249,47
516,6791279,48
517,6792300,48
518,6793321,49
519,6794344,47
520,6795366,47
521,6796382,46
522,6797408,45
523,6798429,44
524,6799449,44
525,6800462,43
526,6801495,44
527,6802511,45
528,6803538,46
529,6804560,46
530,6805582,47
531,6806597,47
532,6807614,47
533,6808641,48
534,6809670,48
535,6810685,48
536,6811688,47
537,6812749,46
538,6813778,44
539,6814799,44
540,6815826,44
541,6816859,44
542,6817890,44
543,6818896,43
544,6819893,44
545,6820905,45
546,6821918,46
547,6822951,47
548,6823966,48
549,6824983,48
550,6826020,48
551,6827032,48
552,6828048,47
553,6829071,46
554,6830100,45
555,6831116,44
556,6832145,44
557,6833162,44
558,6834181,43
559,6835210,43
560,6836227,45
561,6837247,44
562,6838275,46
563,6839285,47
564,6840320,48
565,6841341,47
566,6842361,48
567,6843373,49
568,6844406,46
569,6845422,47
570,6846452,46
571,6847470,45
572,6848487,45
573,6849503,45
574,6850535,43
575,6851552,43
576,6852568,45
577,6853601,45
578,6854617,46
579,6855633,46
580,6856653,48
581,6857680,46
582,6858698,47
583,6859752,48
584,6860768,48
585,6861789,46
586,6862824,46
587,6863861,45
588,6864876,45
589,6865892,43
590,6867851,44
591,6868042,44
592,6869846,44
593,6870014,44
594,6871837,45
595,6872013,47
596,6873844,47
597,6874037,46
598,6875844,48
599,6876075,47
600,6877836,47
601,6878116,46
602,6879836,46
603,6880164,46
604,6881836,44
605,6882205,43
606,6883836,44
607,6884251,43
608,6885836,45
609,6886294,45
610,6887842,45
611,6888338,46
612,6889836,47
613,6890381,48
614,6891850,48
615,6892424,48
616,6893836,48
617,6894467,47
618,6895842,47
619,6896509,46
620,6897836,45
621,6898554,43
622,6899842,44
623,6900598,44
624,6901852,44
625,6902636,43
626,6903849,46
627,6904685,46
628,6905852,47
629,6907713,46
630,6907886,47
631,6909743,47
632,6909941,48
633,6911794,47
634,6911977,47
635,6913845,45
636,6914022,45
637,6915837,43
638,6916022,45
639,6917857,43
640,6918029,44
641,6919219,43
642,6920001,44
643,6921034,45
644,6922047,47
645,6923063,47
646,6924095,47
647,6925116,47
648,6926132,48
649,6927151,48
650,6928177,46
651,6929197,46
652,6930229,45
653,6931249,44
654,6932265,44
655,6933295,44
656,6934313,43
657,6935340,44
658,6936356,45
659,6937372,46
660,6938399,45
661,6939424,47
662,6940450,47
663,6941456,48
664,6942485,48
665,6943503,48
666,6944518,47
667,6945550,46
668,6946568,46
669,6947589,44
670,6948611,44
671,6949633,45
672,6950649,44
673,6951670,44
674,6952685,45
675,6953746,45
676,6954756,47
677,6955783,47
678,6956802,47
679,6957836,47
680,6958868,48
681,6959875,49
682,6960874,46
683,6961896,47
684,6962908,47
685,6963941,45
686,6964961,45
687,6965977,44
688,6966996,44
689,6968026,43
690,6969038,44
691,6970072,45
692,6971087,45
693,6972106,47
694,6973141,47
695,6974156,47
696,6975172,48
697,6976192,48
698,6977221,48
699,6978236,47
700,6979268,47
701,6980286,45
702,6981301,45
703,6982332,44
704,6983348,43
705,6984364,44
706,6985390,44
707,6986411,45
708,6987432,45
709,6988462,46
710,6989482,47
711,6990504,47
712,6991521,48
713,6992543,48
714,6993562,48
715,6994590,47
716,6995608,47
717,6996635,46
718,6997656,45
719,6998673,44
720,6999688,44
721,7000743,44
722,7001753,43
723,7002782,45
724,7003799,45
725,7004830,46
726,7005875,47
727,7006880,48
728,7007876,47
729,7008883,47
730,7009920,48
731,7010936,47
732,7011960,46
733,7012982,45
734,7013997,46
735,7015025,45
736,7016042,45
737,7017065,44
738,7018077,43
739,7019112,45
740,7020128,46
741,7021147,45
742,7022173,46
743,7023193,48
744,7024212,48
745,7025237,48
746,7026255,48
747,7027286,47
748,7028297,46
749,7029326,47
750,7030356,45
751,7031372,44
752,7032391,45
753,7033404,44
754,7034432,44
755,7035458,44
756,7036469,45
757,7037497,45
758,7038525,46
759,7039537,48
760,7040559,48
761,7041583,48
762,7042597,48
763,7043631,48
764,7044648,47
765,7045670,47
766,7046690,46
767,7047739,44
768,7048756,44
769,7049773,44
770,7050794,44
771,7051827,44
772,7052866,45
773,7053885,46
774,7054896,45
775,7055896,46
776,7056911,48
777,7057923,48
778,7058957,49
779,7059977,49
780,7060987,47
781,7062021,47
782,7063041,45
783,7064057,45
784,7065087,45
785,7066106,45
786,7067122,44
787,7068152,44
788,7069171,44
789,7070187,45
790,7071213,46
791,7072236,47
792,7073264,48
793,7074286,47
794,7075302,47
795,7076319,48
796,7077343,48
797,7078369,47
798,7079382,47
799,7080411,45
800,7081427,44
801,7082447,44
802,7083472,45
803,7084493,44
804,7085512,45
805,7086537,44
806,7087562,45
807,7088574,46
808,7089595,48
809,7090623,47
810,7091649,48
811,7092671,48
812,7093687,48
813,7094698,46
814,7095753,47
815,7096770,45
816,7097791,45
817,7098818,45
818,7099856,45
819,7100881,44
820,7101883,44
821,7102882,44
822,7103906,45
823,7104930,46
824,7105948,47
825,7106963,46
826,7107997,48
827,7109013,48
828,7110032,49
829,7111060,47
830,7112078,46
831,7113094,45
832,7114126,46
833,7115143,45
834,7116159,44
835,7117190,45
836,7118212,43
837,7119232,45
838,7120258,46
839,7121276,46
840,7122292,47
841,7123321,48
842,7124338,48
843,7125353,48
844,7126386,47
845,7127403,48
846,7128430,47
847,7129451,46
848,7130468,45
849,7131493,44
850,7132516,44
851,7133533,44
852,7134549,45
853,7135576,45
854,7136598,45
855,7137618,45
856,7138646,46
857,7139662,47
858,7140685,48
859,7141737,48
860,7142749,48
861,7143758,48
862,7144787,47
863,7145809,47
864,7146845,46
865,7147879,45
866,7148886,44
867,7149886,44
868,7150906,45
869,7151923,44
870,7152957,45
871,7153971,46
872,7154988,46
873,7156008,47
874,7157035,48
875,7158053,48
876,7159069,48
877,7160101,49
878,7161118,47
879,7162134,47
880,7163166,47
881,7164183,45
882,7165210,45
883,7166231,44
884,7167249,45
885,7168267,44
886,7169293,46
887,7170313,46
888,7171329,48
889,7172361,49
890,7173384,49
891,7174394,49
892,7175426,50
893,7176442,49
894,7177467,48
895,7178491,48
896,7179508,48
897,7180524,48
898,7181556,46
899,7182573,47
900,7183599,46
901,7184621,45
902,7185639,46
903,7186662,48
904,7187676,49
905,7188696,49
906,7189746,50
907,7190760,50
908,7191793,50
909,7192809,52
910,7193845,52
911,7194876,51
912,7195887,51
913,7196883,48
914,7197898,48
915,7198913,48
916,7199947,47
917,7200963,46
918,7201997,47
919,7203015,47
920,7204028,49
921,7205055,48
922,7206076,50
923,7207092,51
924,7208109,50
925,7209141,50
926,7210157,51
927,7211174,49
928,7212208,49
929,7213227,48
930,7214239,47
931,7215273,46
932,7216292,47
933,7217304,46
934,7218333,46
935,7219353,46
936,7220369,48
937,7221401,49
938,7222418,49
939,7223445,50
940,7224466,50
941,7225484,51
942,7226510,51
943,7227531,50
944,7228549,48
945,7229572,49
946,7230596,48
947,7231614,46
948,7232635,46
949,7233662,46
950,7234685,45
951,7235739,48
952,7236747,47
953,7237758,48
954,7238786,49
955,7239799,49
956,7240834,50
957,7241867,50
958,7242884,51
959,7243876,49
960,7244889,49
961,7245921,50
962,7246938,48
963,7247954,48
964,7248987,47
965,7250003,48
966,7251027,47
967,7252051,47
968,7253071,47
969,7254084,48
970,7255116,49
971,7256133,51
972,7257149,51
973,7258181,51
974,7259198,51
975,7260218,51
976,7261246,51
977,7262264,50
978,7263282,50
979,7264307,49
980,7265328,47
981,7266359,48
982,7267382,47
983,7268393,47
984,7269420,48
985,7270441,49
986,7271461,49
987,7272483,51
988,7273510,50
989,7274526,50
990,7275539,51
991,7276571,52
992,7277589,51
993,7278615,50
994,7279637,49
995,7280653,49
996,7281681,48
997,7282691,49
998,7283753,47
999,7284760,47
1000,7285778,48
1001,7286802,49
1002,7287848,50
1003,7288868,50
1004,7289892,51
1005,7290892,51
1006,7291896,52
1007,7292913,53
1008,7293932,51
1009,7294961,51
1010,7295978,51
1011,7296994,49
1012,7298026,49
1013,7299047,48
1014,7300072,49
1015,7301095,48
1016,7302108,48
1017,7303127,49
1018,7304156,50
1019,7305174,51
1020,7306189,52
1021,7307221,53
1022,7308239,52
1023,7309265,53
1024,7310287,52
1025,7311304,51
1026,7312331,51
1027,7313343,50
1028,7314368,49
1029,7315389,49
1030,7316419,48
1031,7317434,47
1032,7318449,48
1033,7319482,49
1034,7320498,50
1035,7321519,50
1036,7322540,51
1037,7323564,52
1038,7324587,52
1039,7325612,52
1040,7326633,53
1041,7327644,52
1042,7328676,52
1043,7329694,50
1044,7330754,50
1045,7331758,48
1046,7332794,49
1047,7333802,48
1048,7334826,48
1049,7335869,49
1050,7336892,50
1051,7337889,49
1052,7338888,50
1053,7339913,52
1054,7340936,52
1055,7341954,52
1056,7342969,53
1057,7344001,52
1058,7345018,51
1059,7346043,51
1060,7347066,49
1061,7348084,49
1062,7349117,48
1063,7350131,49
1064,7351149,47
1065,7352164,49
1066,7353196,50
1067,7354212,50
1068,7355242,51
1069,7356262,53
1070,7357278,52
1071,7358305,53
1072,7359328,53
1073,7360348,54
1074,7361368,53
1075,7362392,51
1076,7363409,51
1077,7364433,49
1078,7365458,50
1079,7366474,49
1080,7367490,49
1081,7368521,49
1082,7369539,50
1083,7370563,50
1084,7371587,51
1085,7372607,53
1086,7373625,53
1087,7374652,53
1088,7375674,53
1089,7376690,54
1090,7377750,53
1091,7378761,52
1092,7379794,51
1093,7380811,50
1094,7381845,50
1095,7382874,50
1096,7383886,50
1097,7384900,49
1098,7385898,50
1099,7386911,51
1100,7387928,51
1101,7388953,54
1102,7390839,53
1103,7391024,54
1104,7392840,53
1105,7393031,55
1106,7394837,53
1107,7395083,53
1108,7396840,53
1109,7397128,52
1110,7398832,51
1111,7399160,51
1112,7400837,51
1113,7401214,49
1114,7402837,50
1115,7403258,52
1116,7404833,51
1117,7405301,54
1118,7406837,54
1119,7407334,54
1120,7408833,55
1121,7409383,54
1122,7410833,54
1123,7411430,54
1124,7412833,54
1125,7413465,53
1126,7414838,52
1127,7415517,51
1128,7416837,51
1129,7417550,51
1130,7418831,51
1131,7419599,52
1132,7420831,52
1133,7421648,53
1134,7422831,54
1135,7423692,54
1136,7424867,55
1137,7426721,55
1138,7426909,55
1139,7428752,54
1140,7428930,54
1141,7430789,52
1142,7430981,52
1143,7432841,51
1144,7433020,51
1145,7434834,50
1146,7435022,51
1147,7436838,51
1148,7437033,52
1149,7438832,53
1150,7439023,55
1151,7440831,55
1152,7441060,54
1153,7442848,55
1154,7443104,54
1155,7444830,55
1156,7445135,54
1157,7446831,53
1158,7447192,53
1159,7448842,51
1160,7449237,51
1161,7450516,51
1162,7451277,50
1163,7452294,52
1164,7453313,52
1165,7454342,53
1166,7455367,53
1167,7456382,55
1168,7457407,54
1169,7458432,55
1170,7459439,56
1171,7460472,55
1172,7461489,54
1173,7462513,54
1174,7463533,53
1175,7464548,53
1176,7465579,53
1177,7466602,52
1178,7467623,52
1179,7468640,50
1180,7469666,52
1181,7470684,52
1182,7471698,54
1183,7472760,54
1184,7473777,55
1185,7474798,55
1186,7475815,55
1187,7476853,57
1188,7477879,55
1189,7478882,53
1190,7479904,54
1191,7480899,52
1192,7481927,51
1193,7482944,51
1194,7483959,52
1195,7484992,52
1196,7486009,52
1197,7487033,52
1198,7488057,54
1199,7489074,55
1200,7490098,56
1201,7491121,56
1202,7492139,56
1203,7493159,55
1204,7494187,56
1205,7495212,54
1206,7496240,54
1207,7497253,53
1208,7498277,52
1209,7499293,52
1210,7500316,51
1211,7501334,51
1212,7502349,51
